Tile_ID,B2_Blue,B3_Green,B4_Red,B8_NIR,B11_SWIR1,B12_SWIR2,NDVI,EVI,SAVI,NDWI,MNDWI,MSI,NDMI,label,Area_ha
TILE_001,1200,1350,1500,2500,1800,2100,0.24999999999999375,0.9996001599359856,0.3749531308586333,-0.2987012987012909,-0.14285714285713833,0.7199999999999712,0.1627906976744148,Mangrove,1
TILE_002,900,1100,1400,2600,1750,2000,0.2999999999999925,0.7057163020465607,0.44994375703036,-0.40540540540539444,-0.22807017543858848,0.6730769230768971,0.19540229885057023,Mangrove,1
TILE_003,700,900,1200,2200,1600,1800,0.2941176470588149,0.6022645145747867,0.4411116012350995,-0.4193548387096639,-0.2799999999999888,0.7272727272726942,0.15789473684210112,Mangrove,1
TILE_004,300,450,600,1200,900,1000,0.33333333333331483,0.5880047040376092,0.4998611496806165,-0.454545454545427,-0.3333333333333086,0.7499999999999375,0.14285714285713605,Seagrass,1
TILE_005,400,500,700,1400,950,1100,0.33333333333331744,0.6728181468665639,0.4998809807188527,-0.47368421052629084,-0.3103448275861855,0.6785714285713801,0.1914893617021195,Seagrass,1
TILE_006,350,480,650,1300,870,950,0.3333333333333162,0.6308229813664351,0.4998718277364522,-0.4606741573033449,-0.2888888888888675,0.6692307692307178,0.19815668202764064,Seagrass,1
TILE_007,100,150,200,450,260,300,0.3846153846153254,0.6936736958933747,0.5764796310529475,-0.4999999999999166,-0.26829268292676384,0.5777777777776494,0.2676056338027792,Saltmarsh,1
TILE_008,120,180,240,500,300,340,0.35135135135130385,0.6243996157540226,0.526671168129571,-0.4705882352940484,-0.24999999999994793,0.59999999999988,0.24999999999996875,Saltmarsh,1
TILE_009,90,140,190,430,240,290,0.3870967741934859,0.6696428571427824,0.5801772763899146,-0.5087719298244721,-0.26315789473677287,0.5581395348835911,0.28358208955219644,Saltmarsh,1
TILE_010,1300,1450,1600,2400,1700,1900,0.199999999999995,0.8884940026654425,0.29996250468690666,-0.24675324675324034,-0.07936507936507685,0.7083333333333038,0.170731707317069,Mangrove,1
TILE_011,500,650,900,1800,1200,1400,0.333333333333321,0.6519849319037772,0.4999074245509906,-0.46938775510202163,-0.2972972972972812,0.6666666666666297,0.19999999999999332,Seagrass,1
TILE_012,200,250,300,700,450,500,0.39999999999996,0.9990009990008991,0.5997001499249774,-0.4736842105262659,-0.2857142857142449,0.642857142857051,0.21739130434780718,Saltmarsh,1
